edition,code,Medicaid,Medicare,Fulton Health,Med-Plus,MedCare Advantage,McGraw-Hill Healthmark
2018,10060,66.44,66.44,81.1,73.6,72.62,81.1
2018,10061,185.04,185.04,177.91,161.47,159.32,177.91
2018,10120,106.92,106.92,98.47,89.37,88.18,98.47
2018,11200,75.96,75.96,86.06,78.1,77.06,86.06
2018,11201,17.64,17.64,45.51,41.31,40.76,45.51
2018,11730,57.24,57.24,88.54,80.36,79.29,88.54
2018,20550,40.68,40.68,346.72,314.67,310.48,346.72
2018,20600,36.72,36.72,148.95,135.18,133.38,148.95
2018,20605,164,164,178.33,161.84,159.69,178.33
2018,20610,47.88,47.88,222.6,202.02,199.33,222.6
2018,23500,228.24,228.24,1116.3,1013.1,999.61,1116.3
2018,26600,284.76,284.76,260.66,236.57,233.42,260.66
2018,26720,189.36,189.36,199.43,180.99,178.58,199.43
2018,27530,289.08,289.08,565.18,512.93,506.1,565.18
2018,27750,327.24,327.24,594.97,539.97,532.78,594.97
2018,45300,61.75,61.75,187.02,169.73,167.47,187.02
2018,45330,64.5,64.5,212.67,193.01,190.44,212.67
2018,45331,82.59,82.59,227.56,206.53,203.78,227.56
2018,45378,213.95,213.95,1554.87,1411.13,1392.34,1554.87
2018,99024,25.71,25.71,39.72,36.05,35.57,39.72
2018,73000,28.44,28.44,67.86,61.58,60.76,67.86
2018,73120,28.8,28.8,65.37,59.33,58.54,65.37
2018,73130,32.4,32.4,75.3,68.34,67.43,75.3
2018,71045,22.32,22.32,44.69,40.55,40.01,44.69
2018,71046,30.96,30.96,56.27,51.07,50.39,56.27
2018,73551,28.44,28.44,77.79,70.59,69.65,77.79
2018,73590,29.16,29.16,73.65,66.84,65.95,73.65
2018,77067,96.31,96.31,110.89,100.63,99.29,110.89
2018,36415,7,7,12.41,11.27,11.12,12.41
2018,69210,33.84,33.84,52.13,47.31,46.68,52.13
2018,80048,29.17,29.17,56.27,51.07,50.39,56.27
2018,80050,28.13,28.13,52.96,48.06,47.42,52.96
2018,80060,24.39,24.39,52.96,48.06,47.42,52.96
2018,80305,43,43,62.06,56.33,55.58,62.06
2018,81000,8,8,18.21,16.52,16.3,18.21
2018,81001,9.04,9.04,20.69,18.78,18.53,20.69
2018,82270,6.19,6.19,12.41,11.27,11.12,12.41
2018,82947,5.89,5.89,12.41,11.27,11.12,12.41
2018,82948,5.61,5.61,12.41,11.27,11.12,12.41
2018,85025,29.54,29.54,51.31,46.56,45.94,51.31
2018,87081,7.5,7.5,12.41,11.27,11.12,12.41
2018,87088,12.75,12.75,28.14,25.53,25.19,28.14
2018,87205,14.33,14.33,23.17,21.03,20.75,23.17
2018,87270,13.49,13.49,24.83,22.53,22.23,24.83
2018,87880,9.08,9.08,18.21,16.52,16.3,18.21
2018,88150,15.71,15.71,24,21.78,21.49,24
2018,93000,22,22,30.62,27.79,27.42,30.62
2018,93005,8.64,8.64,24.83,22.53,22.23,24.83
2018,93015,72.72,72.72,169.64,153.96,151.91,169.64
2018,93040,12.96,12.96,35.58,32.29,31.86,35.58
2018,93224,92.88,92.88,181.22,164.47,162.28,181.22
2018,93225,27,27,50.48,45.81,45.2,50.48
2018,94010,21,21,23.58,21.4,21.12,23.58
2018,94060,61.92,61.92,86.89,78.86,77.81,86.89
2018,86580,13,13,23.17,21.03,20.75,23.17
2018,90471,20.88,20.88,20.69,18.78,18.53,20.69
2018,90472,12.96,12.96,10.76,9.76,9.63,10.76
2018,90632,16.47,16.47,61.24,55.57,54.83,61.24
2018,90661,13,13,56.27,51.07,50.39,56.27
2018,90732,10.08,10.08,26.48,24.03,23.71,26.48
2018,90658,12.91,12.91,24.83,22.53,22.23,24.83
2018,90656,14.5,14.5,27.31,24.78,24.45,27.31
2018,90662,13.56,13.56,27.31,24.78,24.45,27.31
2018,90718,13,13,20.69,18.78,18.53,20.69
2018,90746,28.69,28.69,86.89,78.86,77.81,86.89
2018,96372,8,8,17.38,15.77,15.56,17.38
2018,95115,9,9,19.86,18.02,17.78,19.86
2018,95117,10.44,10.44,24.83,22.53,22.23,24.83
2018,99000,4.82,4.82,17.38,15.77,15.56,17.38
2018,96372,20.88,20.88,20.69,18.78,18.53,20.69
2018,J0780,18,18,26.48,24.03,23.71,26.48
2018,J2920,69,69,103.44,93.88,92.63,103.44
2018,99201,27.36,27.36,46.34,42.06,41.5,46.34
2018,99202,31,31,62.06,56.33,55.58,62.06
2018,99203,78.12,78.12,85.23,77.35,76.32,85.23
2018,99204,131.76,131.76,124.13,112.65,111.15,124.13
2018,99205,172.08,172.08,160.54,145.69,143.75,160.54
2018,99211,9.36,9.36,24.83,22.53,22.23,24.83
2018,99212,27,27,37.24,33.8,33.35,37.24
2018,99213,52.2,52.2,51.31,46.56,45.94,51.31
2018,99214,79.92,79.92,75.3,68.34,67.43,75.3
2018,99215,113.04,113.04,115.85,105.14,103.74,115.85
2018,99241,68.17,68.17,78.61,71.35,70.4,78.61
2018,99242,95.25,95.25,105.09,95.38,94.11,105.09
2018,99243,121.71,121.71,134.06,121.66,120.04,134.06
2018,99244,164.95,164.95,181.22,164.47,162.28,181.22
2018,99245,217.11,217.11,242.46,220.04,217.11,242.46
2018,99384,132.38,132.38,147.3,133.68,131.9,147.3
2018,99385,123.2,123.2,137.37,124.67,123.01,137.37
